"Name","Site","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","climstanm","upedonid","pedlabsampnum"
"Cullman-NAHRC",2113,"Alabama","SCAN","Cullman",799,34.19492,-86.79897,"031601090104","Cullman-NAHRC","S2006AL043001","06N0791"
"Cumbres Trestle",431,"Colorado","SNOTEL","Conejos",10040,37.01878,-106.45179,"130201020203",NA,NA,NA
"Currant Creek",432,"Utah","SNOTEL","Wasatch",7915,40.35747,-111.08993,"140600040401","Currant Creek","S10UT051001","11N0380"
"Daisy Peak",919,"Montana","SNOTEL","Meagher",7600,46.66858,-110.33022,"100402010106",NA,NA,NA
"Daly Creek",433,"Montana","SNOTEL","Ravalli",5780,46.18367,-113.8533,"170102050901",NA,NA,NA
"Daly Lake",434,"Oregon","SNOTEL","Linn",3690,44.52147,-122.08718,"170900060101",NA,NA,NA
"Daniels-Strawberry",435,"Utah","SNOTEL","Wasatch",8008,40.2953,-111.25677,"140600040101",NA,NA,NA
"Darkhorse Lake",436,"Montana","SNOTEL","Beaverhead",8945,45.17367,-113.58448,"100200040301",NA,NA,NA
"Deadman Creek",437,"Montana","SNOTEL","Meagher",6450,46.79279,-110.67545,"100301030401",NA,NA,NA
"Deadman Hill",438,"Colorado","SNOTEL","Larimer",10220,40.80571,-105.76993,"101900070502",NA,NA,NA
"Deadwood Summit",439,"Idaho","SNOTEL","Valley",6860,44.54514,-115.5638,"170501200401",NA,NA,NA
"Death Valley Jct",2190,"California","SCAN","Inyo",2062,36.32502,-116.35132,"180902021504","Death Valley Jct","S2012CA027001","13N97484"
"Dee River Ranch",2174,"Alabama","SCAN","Pickens",160,33.10768,-88.31003,"031601060504",NA,NA,NA
"Deep Springs",2187,"California","SCAN","Inyo",5399,37.37222,-117.97383,"180902010102","Deep Springs","S2012CA027002","13N97485"
"Deer Park",923,"Wyoming","SNOTEL","Fremont",9700,42.59076,-108.90273,"100800030101",NA,NA,NA
"Defiance Mines",1210,"Nevada","SNOTEL","White Pine",9302,39.08527,-114.89977,"160600081002","Defiance Mines","S2014NV033003","15N0486"
"Derr.",440,"Oregon","SNOTEL","Wheeler",5850,44.4465,-119.93012,"170703040401",NA,NA,NA
"Desert Center",2183,"California","SCAN","Riverside",556,33.80208,-115.30505,"181001004703",NA,NA,NA
"Dexter",2048,"Missouri","SCAN","Stoddard",305,36.78333,-89.93333,"080202040502","Dexter","S2002MO207001","02N0176"
"Diamond Lake",442,"Oregon","SNOTEL","Douglas",5280,43.18787,-122.14003,"171003010204",NA,NA,NA
"Diamond Peak",443,"Nevada","SNOTEL","Eureka",8017,39.56361,-115.84421,"160600051503",NA,NA,NA
"Dills Camp",444,"Utah","SNOTEL","Sanpete",9228,39.04554,-111.46875,"140700020201",NA,NA,NA
"Disaster Peak",445,"Nevada","SNOTEL","Humboldt",6260,41.96737,-118.18934,"160402010201","Disaster Peak","S2009NV013001","09N1044"
"Dismal Swamp",446,"California","SNOTEL","Modoc",7360,41.99127,-120.18033,"171200070304",NA,NA,NA
"Divide",448,"Montana","SNOTEL","Madison",7800,44.79317,-112.05645,"100200030102",NA,NA,NA
"Divide Peak",449,"Wyoming","SNOTEL","Carbon",8880,41.30398,-107.15241,"140500030203",NA,NA,NA
"Doe Ridge",2191,"California","SCAN","Mono",7340,37.63423,-118.82643,"180901020207","Doe Ridge","S2012CA051002","13N97486"
"Dollarhide Summit",450,"Idaho","SNOTEL","Blaine",8420,43.6025,-114.67417,"170402190201",NA,NA,NA
"Dome Lake",451,"Wyoming","SNOTEL","Sheridan",8880,44.57462,-107.29537,"100901010102",NA,NA,NA
"Donkey Reservoir",452,"Utah","SNOTEL","Wayne",9799,38.2084,-111.47412,"140700030305",NA,NA,NA
"Dorsey Basin",453,"Nevada","SNOTEL","Elko",7903,40.89343,-115.21104,"160401010604",NA,NA,NA
"Draw Creek",454,"Nevada","SNOTEL","Elko",7332,41.661,-115.3234,"160401010403","Draw Creek","S2009NV007002","09N1043"
"Dry Bread Pond",455,"Utah","SNOTEL","Cache",8302,41.41289,-111.5377,"160102030101","Dry Bread Pond","S11UT005001","12N7844"
"Dry Creek",1243,"Nevada","SNOTEL","Elko",6555,40.8638,-115.22014,"160401010601","Dry Creek","S2013NV007902","14N0337"
"Dry Fork",906,"Utah","SNOTEL","Salt Lake",7093,40.56533,-112.17343,"160202040106",NA,NA,NA
"Dry Lake",457,"Colorado","SNOTEL","Routt",8400,40.53397,-106.7813,"140500010409",NA,NA,NA
"Dugway",2167,"Utah","SCAN","Tooele",4314,40.16591,-113.02007,"160203061009","Dugway","S2009UT045002","09N1057"
"Dungeness",943,"Washington","SNOTEL","Clallam",4010,47.87224,-123.0788,"171100200301",NA,NA,NA
"Dupuyer Creek",458,"Montana","SNOTEL","Teton",5750,48.06341,-112.7573,"100302010501",NA,NA,NA
"EF Blacks Fork GS",1163,"Utah","SNOTEL","Summit",9360,40.88472,-110.54056,"140401070302","Ef Blacks Fork Gs","S11UT043003","11N0384"
"Eagle Lake",2192,"California","SCAN","Lassen",5134,40.6175,-120.72472,"180800030305","Eagle Lake","S2012CA063001","13N97487"
"Eagle Summit",960,"Alaska","SNOTEL","Yukon-Koyukuk",3650,65.48588,-145.41212,"190804010801",NA,NA,NA
"East Boulder Mine",1105,"Montana","SNOTEL","Sweet Grass",6335,45.50381,-110.08019,"100700020701",NA,NA,NA
"East Palmer",953,"Alaska","SNOTEL","Matanuska-Susitna",230,61.59858,-149.09637,"190204020709",NA,NA,NA
"East Rim Divide",460,"Wyoming","SNOTEL","Sublette",7930,43.13097,-110.2023,"170401030203",NA,NA,NA
"East Willow Creek",461,"Utah","SNOTEL","Grand",8302,39.31213,-109.53179,"140600060205",NA,NA,NA
"Eastland",2130,"Utah","SCAN","San Juan",6837,37.77853,-109.17193,"140802030109","Eastland","S07UT037001","07N0493"
"Eastview Farm",2077,"Tennessee","SCAN","Franklin",1054,35.13905,-86.19113,"060300030602","Eastview Farm","2003TN051004","03N0736"
"Easy Pass",998,"Washington","SNOTEL","Whatcom",5270,48.85933,-121.43895,"171100010101",NA,NA,NA
"Ebbetts Pass",462,"California","SNOTEL","Alpine",8661,38.5497,-119.80468,"160502010104",NA,NA,NA
"Echo Lake",936,"Colorado","SNOTEL","Clear Creek",10600,39.65627,-105.59345,"101900020801",NA,NA,NA
"Echo Peak",463,"California","SNOTEL","El Dorado",7653,38.849,-120.0795,"160501010303","Echo Peak","S2013CA017001","14N0341"
"Eilertson Meadows",464,"Oregon","SNOTEL","Baker",5510,44.86887,-118.11387,"170502030404",NA,NA,NA
"El Diente Peak",465,"Colorado","SNOTEL","Dolores",10000,37.78617,-108.02155,"140300020202",NA,NA,NA
"Elbow Lake",910,"Washington","SNOTEL","Whatcom",3040,48.69092,-121.90893,"171100040401",NA,NA,NA
"Elk Butte",466,"Idaho","SNOTEL","Clearwater",5690,46.83998,-116.12233,"170603080701",NA,NA,NA
"Elk Cabin",921,"New Mexico","SNOTEL","Santa Fe",8210,35.7043,-105.80675,"130202010102",NA,NA,NA
"Elk Peak",1106,"Montana","SNOTEL","Meagher",7600,46.4845,-110.7125,"100402010203",NA,NA,NA
"Elk River",467,"Colorado","SNOTEL","Routt",8700,40.84781,-106.96871,"140500010206",NA,NA,NA
"Elkhart Park G.S.",468,"Wyoming","SNOTEL","Sublette",9400,43.00657,-109.75893,"140401020103",NA,NA,NA
"Elkhead Divide",1252,"Colorado","SNOTEL","Routt",8780,40.79649,-107.10122,"140500010601",NA,NA,NA
"Elliot Ridge",1120,"Colorado","SNOTEL","Summit",10520,39.864,-106.4246,"140100020602",NA,NA,NA
"Elsberry PMC",2220,"Missouri","SCAN","Lincoln",453,39.15306,-90.78278,"071100041104","Elsberry PMC","S2015MO113001","15N0738"
"Emery Creek",469,"Montana","SNOTEL","Flathead",4350,48.43412,-113.93725,"170102090703",NA,NA,NA
"Emigrant Springs",470,"Oregon","SNOTEL","Umatilla",3800,45.55808,-118.45383,"170701030501",NA,NA,NA
"Emigrant Summit",471,"Idaho","SNOTEL","Bear Lake",7390,42.36055,-111.56085,"160102020206",NA,NA,NA
"Enterprise",2128,"Utah","SCAN","Iron",5250,37.63343,-113.64324,"160300061307","Enterprise","S07UT021001","07N0496"
"Ephraim",2126,"Utah","SCAN","Sanpete",5531,39.36798,-111.57803,"160300040303","Ephraim","S2014UT039001","15N0475"
"Eros Data Center",2072,"South Dakota","SCAN","Minnehaha",1602,43.73835,-96.61455,"101702031402","Eros Data Center","S2003SD099001","03N0688"
"Essex",2185,"California","SCAN","San Bernardino",2644,34.67235,-115.16693,"181001003308","Essex","S2011CA071003","13N97465"
"Esther Island",1071,"Alaska","SNOTEL","Valdez-Cordova",50,60.798,-148.0857,"190202011605",NA,NA,NA
"Evening Star",472,"Wyoming","SNOTEL","Park",9200,44.65258,-109.78422,"100700060301",NA,NA,NA
"Everglades ARS",2051,"Florida","SCAN","Dade",9,25.5,-80.55,"030902061603","Everglades ARS","97FL025005A","97P0435"
"Exit Glacier",1092,"Alaska","SNOTEL","Kenai Peninsula",400,60.19033,-149.62117,"190202020508",NA,NA,NA
"Fallen Leaf",473,"California","SNOTEL","El Dorado",6242,38.93403,-120.0545,"160501010401",NA,NA,NA
"Farmington",474,"Utah","SNOTEL","Davis",7902,40.97462,-111.80975,"160201020502","Farmington","S2014UT011001","15N0469"
"Farmington Lower",1054,"Utah","SNOTEL","Davis",6779,40.992,-111.81702,"160201020502",NA,NA,NA
"Farnsworth Lake",475,"Utah","SNOTEL","Sevier",9623,38.77246,-111.67662,"160300030405",NA,NA,NA
"Fawn Creek",476,"Nevada","SNOTEL","Elko",7031,41.82098,-116.10153,"170501040304",NA,NA,NA
"Fielding Lake",1268,"Alaska","SNOTEL","Valdez-Cordova",3000,63.20267,-145.6305,"190803040302",NA,NA,NA
"Fish Creek",477,"Oregon","SNOTEL","Harney",7660,42.70992,-118.6321,"171200030107",NA,NA,NA
"Fish Lake",478,"Washington","SNOTEL","Kittitas",3430,47.53565,-121.08553,"170300010102",NA,NA,NA
"Fish Lake Utah",1149,"Utah","SNOTEL","Sevier",8798,38.50455,-111.76693,"140700030108","Fish Lake Utah","S10UT041001","11N0378"
"Fish Lk.",479,"Oregon","SNOTEL","Jackson",4660,42.3801,-122.34943,"171003070801",NA,NA,NA
"Fisher Creek",480,"Montana","SNOTEL","Park",9100,45.06235,-109.94488,"100700060202",NA,NA,NA
"Five Points Lake",481,"Utah","SNOTEL","Duchesne",10943,40.71785,-110.46721,"140600030701",NA,NA,NA
"Flattop Mtn.",482,"Montana","SNOTEL","Flathead",6300,48.80225,-113.85713,"170102070501",NA,NA,NA
"Flower Mountain",1285,"Alaska","SNOTEL","Haines",2510,59.39617,-136.28123,"190103031206",NA,NA,NA
"Fool Creek",1186,"Colorado","SNOTEL","Grand",11150,39.8687,-105.8675,"140100010203",NA,NA,NA
"Ford Dry Lake",2184,"California","SCAN","Riverside",394,33.6547,-115.09763,"181001005405",NA,NA,NA
"Forestdale Creek",1049,"California","SNOTEL","Alpine",8017,38.68245,-119.9597,"160502010301","Forestdale Creek","S10CA003003","11N0376"
"Fort Assiniboine #1",2019,"Montana","SCAN","Hill",2710,48.48333,-109.8,"100500040103","Fort Assiniboine #1","92MT041003","92P0838"
"Fort Reno #1",2022,"Oklahoma","SCAN","Canadian",1400,35.55,-98.01667,"111003010606","Fort Reno #1","S2001OK017001","01N1209"
"Fort Valley",1121,"Arizona","SNOTEL","Coconino",7350,35.26806,-111.74486,"150200150102","Fort Valley","S08AZ005001","08N0584"
"Fort Yukon",961,"Alaska","SNOTEL","Yukon-Koyukuk",430,66.5705,-145.24553,"190705062100",NA,NA,NA
"Fortuna",2122,"Puerto Rico","SCAN","Juana Diaz",93,18.02502,-66.5279,"210100040313",NA,NA,NA
"Fourmile Lake",483,"Oregon","SNOTEL","Klamath",5970,42.43933,-122.2288,"180102030202",NA,NA,NA
"Franklin Basin",484,"Idaho","SNOTEL","Franklin",8140,42.0505,-111.6012,"160102020501",NA,NA,NA
"Fredonyer Peak",1277,"California","SNOTEL","Lassen",7208,40.68799,-120.60805,"180800030304",NA,NA,NA
"Fremont Pass",485,"Colorado","SNOTEL","Summit",11400,39.37991,-106.19681,"140100020301",NA,NA,NA
"French Gulch",2218,"California","SCAN","Shasta",3704,40.79361,-122.55083,"180201540102",NA,NA,NA
"Frisco Divide",486,"New Mexico","SNOTEL","Catron",8000,33.73646,-108.94502,"150400040303",NA,NA,NA
"Frohner Meadow",487,"Montana","SNOTEL","Jefferson",6480,46.43545,-112.19277,"100301011305",NA,NA,NA
"Frostbite Bottom",641,"Alaska","SNOTEL","Matanuska-Susitna",2700,61.74722,-149.2688,"190205051202",NA,NA,NA
"Fry",488,"Arizona","SNOTEL","Coconino",7200,35.07297,-111.84374,"150602020501",NA,NA,NA
"Fry Canyon",1262,"Nevada","SNOTEL","Elko",6798,41.57022,-115.93645,"160401020101","Fry Canyon","S2014NV007112","15N0483"
"GBRC HQ",1221,"Utah","SNOTEL","Sanpete",8801,39.32019,-111.48827,"160300040307","GBRC HQ","S2012UT039003","13N57554"
"GBRC Meadows",1222,"Utah","SNOTEL","Sanpete",9858,39.30229,-111.45383,"160300040307","GBRC Meadows","S2012UT039004","13N57555"
"Galena",489,"Idaho","SNOTEL","Blaine",7470,43.87722,-114.6725,"170402190101",NA,NA,NA
"Galena AK",429,"Alaska","SNOTEL","Yukon-Koyukuk",410,64.69662,-156.71497,"190902051104",NA,NA,NA
"Galena Summit",490,"Idaho","SNOTEL","Blaine",8780,43.87497,-114.71363,"170402190101",NA,NA,NA
"Gallegos Peak",491,"New Mexico","SNOTEL","Taos",9800,36.19446,-105.55795,"130201010502",NA,NA,NA
"Garden City Summit",1114,"Utah","SNOTEL","Cache",7705,41.9215,-111.4693,"160102010106",NA,NA,NA
"Gardner Peak",1066,"Utah","SNOTEL","Washington",8322,37.40083,-113.45988,"150100080701",NA,NA,NA
"Garfield R.S.",492,"Idaho","SNOTEL","Blaine",6560,43.6104,-113.9308,"170402210301",NA,NA,NA
"Garita Peak",1173,"New Mexico","SNOTEL","Rio Arriba",10160,36.005,-106.54838,"130202020201",NA,NA,NA
"Garver Creek",918,"Montana","SNOTEL","Lincoln",4250,48.97523,-115.81915,"170101030202",NA,NA,NA
"Geneva #1",2011,"New York","SCAN","Ontario",725,42.88333,-77.03333,"041402010904","Geneva #1","S1991NY069001","92P0198"
"George Creek",1151,"Utah","SNOTEL","Box Elder",8964,41.91562,-113.41154,"170402100401","George Creek","S2010UT003001","11N0372"
"Gerber Reservoir",945,"Oregon","SNOTEL","Klamath",4890,42.2062,-121.1334,"180102040508",NA,NA,NA
"Giveout",493,"Idaho","SNOTEL","Bear Lake",6930,42.4132,-111.1663,"160102010401",NA,NA,NA
"Glacial Ridge",2050,"Minnesota","SCAN","Polk",1125,47.71667,-96.26667,"090203030503","Glacial Ridge","S2002MN119001","02N0123"
"Glen Cove",1057,"Colorado","SNOTEL","Teller",11460,38.87583,-105.07367,"110200030201",NA,NA,NA
"Gobblers Knob",962,"Alaska","SNOTEL","Yukon-Koyukuk",2030,66.745,-150.6675,"190901020403",NA,NA,NA
"Golconda",1195,"Nevada","SNOTEL","Humboldt",6616,40.88358,-117.58812,"160401080102",NA,NA,NA
"Gold Axe Camp",1159,"Washington","SNOTEL","Okanogan",5360,48.9516,-118.9864,"170200021204",NA,NA,NA
"Gold Center",494,"Oregon","SNOTEL","Grant",5410,44.7638,-118.3117,"170702020202",NA,NA,NA
"Gold Mountain",1256,"Washington","SNOTEL","Ferry",4390,48.18934,-118.4559,"170200011703",NA,NA,NA
"Goodwin Ck Pasture",2024,"Mississippi","SCAN","Panola",320,34.25,-89.86667,"080302030403","Goodwin Ck Pasture","S2002MS107001","03N0160"
"Goodwin Ck Timber",2025,"Mississippi","SCAN","Panola",320,34.23333,-89.9,"080302030402","Goodwin Ck Timber","S2002MS107002","03N0161"
"Gooseberry RS",495,"Utah","SNOTEL","Sevier",7944,38.80034,-111.68333,"160300030405",NA,NA,NA
"Gooseberry RS Up",1184,"Utah","SNOTEL","Sevier",8396,38.7882,-111.68892,"160300030405","Gooseberry R.S. Up","S2011UT041001","12N7845"
"Goshute",2165,"Utah","SCAN","Tooele",5487,39.99003,-114.00025,"160203060808","Goshute","S09UT045003","10N0506"
"Graham Guard Sta.",496,"Idaho","SNOTEL","Elmore",5690,43.9538,-115.27387,"170501110303",NA,NA,NA
"Grand Targhee",1082,"Wyoming","SNOTEL","Teton",9260,43.77933,-110.92783,"170402040202",NA,NA,NA
"Grandview",956,"Alaska","SNOTEL","Kenai Peninsula",1100,60.60832,-149.06313,"190203021001",NA,NA,NA
"Granite Creek",497,"Wyoming","SNOTEL","Teton",6770,43.34298,-110.43495,"170401030304",NA,NA,NA
"Granite Crk",963,"Alaska","SNOTEL","Southeast Fairbanks",1240,63.94382,-145.39993,"190803031306",NA,NA,NA
"Granite Peak",498,"Nevada","SNOTEL","Humboldt",8503,41.67032,-117.56668,"160401090601",NA,NA,NA
"Grantsville",2152,"Utah","SCAN","Tooele",4337,40.59089,-112.39258,"160203040503","Grantsville","S2009UT045001","09N1056"
"Grassy Lake",499,"Wyoming","SNOTEL","Teton",7265,44.12612,-110.83435,"170402030202",NA,NA,NA
"Grave Creek",500,"Montana","SNOTEL","Flathead",4300,48.91453,-114.76663,"170101010801",NA,NA,NA
"Grave Springs",501,"Wyoming","SNOTEL","Natrona",8550,43.46643,-107.23977,"100902010103",NA,NA,NA
"Grayback",1058,"Colorado","SNOTEL","Rio Grande",11620,37.47033,-106.53783,"130100020101",NA,NA,NA
"Green Lake",502,"Washington","SNOTEL","Yakima",5920,46.54741,-121.17093,"170300030101",NA,NA,NA
"Green Mountain",503,"Nevada","SNOTEL","Elko",8185,40.3848,-115.52757,"160401030401",NA,NA,NA
"Green River",2131,"Utah","SCAN","Emery",4103,39.01825,-110.16264,"140600080208","Green River","S07UT015001","07N0491"
"Greenpoint",504,"Oregon","SNOTEL","Hood River",3310,45.62237,-121.70415,"170701050603",NA,NA,NA
"Grizzly Peak",505,"Colorado","SNOTEL","Summit",11100,39.64631,-105.86973,"140100020201",NA,NA,NA
"Gros Ventre Summit",506,"Wyoming","SNOTEL","Teton",8750,43.38939,-110.12943,"170401020203",NA,NA,NA
"Grouse Camp",507,"Washington","SNOTEL","Kittitas",5390,47.28107,-120.48771,"170300010401",NA,NA,NA
"Grouse Creek",2160,"Utah","SCAN","Box Elder",5835,41.77846,-113.82048,"160203080103","Grouse Creek","S2009UT003001","10N0497"
"Grouse Creek Divide",964,"Alaska","SNOTEL","Kenai Peninsula",700,60.25965,-149.34228,"190203020902",NA,NA,NA
"Guilarte Forest",2045,"Puerto Rico","SCAN","Adjuntas",3345,18.15,-66.76667,"210100030201","Guilarte Forest","S2001PR153004","01N1036"
"Gulkana River",2222,"Alaska","SCAN","Valdez-Cordova",1830,62.40962,-145.37513,"190201020604",NA,NA,NA
"Gunsight Pass",944,"Wyoming","SNOTEL","Sublette",9820,43.38332,-109.87815,"170401020102",NA,NA,NA
"Gutz Peak",1065,"Utah","SNOTEL","Washington",6763,37.49617,-113.94235,"150100100101",NA,NA,NA
"Hagans Meadow",508,"California","SNOTEL","El Dorado",7742,38.8519,-119.9374,"160501010302",NA,NA,NA
"Hals Canyon",2164,"Utah","SCAN","Millard",5260,38.59445,-113.75102,"160203020303","Hals Canyon","S2009UT027002","10N0504"
"Hams Fork",509,"Wyoming","SNOTEL","Lincoln",7840,42.146,-110.67833,"140401070504",NA,NA,NA
"Hand Creek",510,"Montana","SNOTEL","Flathead",5035,48.30754,-114.84075,"170102100304",NA,NA,NA
"Hannagan Meadows",511,"Arizona","SNOTEL","Greenlee",9020,33.65387,-109.30952,"150601010107",NA,NA,NA
"Hansen Sawmill",512,"Wyoming","SNOTEL","Johnson",8360,44.25602,-106.97983,"100902060101",NA,NA,NA
"Happy Jack",969,"Arizona","SNOTEL","Coconino",7630,34.74598,-111.41207,"150602020604",NA,NA,NA
"Hardscrabble",896,"Utah","SNOTEL","Morgan",7250,40.86833,-111.71865,"160201020105","Hardscrabble","S2012UT029001","13N57549"
"Harms Way",2166,"Utah","SCAN","San Juan",7055,38.31347,-109.23998,"140300020802","Harms Way","S2009UT037001","10N0505"
"Harris Flat",514,"Utah","SNOTEL","Kane",7792,37.48997,-112.57602,"160300010104",NA,NA,NA
"Harts Pass",515,"Washington","SNOTEL","Okanogan",6490,48.72047,-120.6586,"171100050501",NA,NA,NA
"Hawkins Lake",516,"Montana","SNOTEL","Lincoln",6450,48.9723,-115.95337,"170101050201",NA,NA,NA
"Hawley Lake",1271,"Arizona","SNOTEL","Apache",8300,33.97142,-109.76528,"150601020106",NA,NA,NA
"Hayden Fork",517,"Utah","SNOTEL","Summit",9130,40.79669,-110.88472,"160101010101",NA,NA,NA
"Hayden Pass",1102,"Colorado","SNOTEL","Saguache",10720,38.29326,-105.8505,"130100030301",NA,NA,NA
"Heavenly Valley",518,"California","SNOTEL","El Dorado",8534,38.92431,-119.91641,"160501010302",NA,NA,NA
"Heber",519,"Arizona","SNOTEL","Coconino",7640,34.31202,-110.75431,"150200100201",NA,NA,NA
"Heen Latinee",1270,"Alaska","SNOTEL","Juneau",2065,58.69652,-134.86448,"190103010401",NA,NA,NA
"Hemlock Butte",520,"Idaho","SNOTEL","Clearwater",5810,46.48111,-115.63361,"170603070601",NA,NA,NA
"Hewinta",521,"Utah","SNOTEL","Summit",9500,40.95009,-110.48419,"140401070203",NA,NA,NA
"Hickerson Park",522,"Utah","SNOTEL","Daggett",9122,40.90663,-109.96287,"140401060501",NA,NA,NA
"Hidden Lake",988,"Idaho","SNOTEL","Boundary",5040,48.8937,-116.75748,"170101040502",NA,NA,NA
"High Lonesome",1187,"Colorado","SNOTEL","Grand",10620,40.03592,-105.75471,"140100010205",NA,NA,NA
"High Ridge",523,"Oregon","SNOTEL","Umatilla",4920,45.69682,-118.10657,"170701030103",NA,NA,NA
"Hilts Creek",524,"Idaho","SNOTEL","Custer",8000,44.01897,-113.4723,"170402170401",NA,NA,NA
"Hobble Creek",1223,"Utah","SNOTEL","Utah",7377,40.18538,-111.35971,"160202020304","Hobble Creek","S2012UT049001","13N57562"
"Hobbs Park",525,"Wyoming","SNOTEL","Fremont",10100,42.86984,-109.09455,"100800030207",NA,NA,NA
"Hodges",2055,"Alabama","SCAN","Marshall",730,34.4448,-86.16557,"060300010705","Hodges","S2002AL095001","02N0185"
"Hogg Pass",526,"Oregon","SNOTEL","Linn",4790,44.42042,-121.85655,"170900040201",NA,NA,NA
"Holden",2127,"Utah","SCAN","Millard",4745,39.19216,-112.40155,"160300051502","Holden","S07UT027001","07N0496"
"Hole-in-Mountain",527,"Nevada","SNOTEL","Elko",8163,40.94168,-115.0954,"160600071602",NA,NA,NA
"Hole-in-Rock",528,"Utah","SNOTEL","Summit",9168,40.92167,-110.18623,"140401060205",NA,NA,NA
"Holland Meadows",529,"Oregon","SNOTEL","Lane",4930,43.66917,-122.56877,"170900020201",NA,NA,NA
"Hoodoo Basin",530,"Montana","SNOTEL","Mineral",6050,46.9751,-115.0349,"170102040607",NA,NA,NA
"Hoosier Pass",531,"Colorado","SNOTEL","Summit",11400,39.36127,-106.05978,"140100020101",NA,NA,NA
"Hopewell",532,"New Mexico","SNOTEL","Rio Arriba",10000,36.71631,-106.26348,"130201021401",NA,NA,NA
"Horse Meadow",1050,"California","SNOTEL","Alpine",8557,38.83652,-119.88732,"160502010302","Horse Meadow","S10CA003001","11N0374"
"Horse Ridge",533,"Utah","SNOTEL","Morgan",8199,41.31372,-111.44624,"160201010601",NA,NA,NA
"Hourglass Lake",1122,"Colorado","SNOTEL","Larimer",9380,40.57913,-105.63068,"101900070101",NA,NA,NA
"Howard Prairie",1158,"Oregon","SNOTEL","Jackson",4580,42.215,-122.3713,"180102060401",NA,NA,NA
"Howell Canyon",534,"Idaho","SNOTEL","Cassia",7980,42.32029,-113.61587,"170402090602",NA,NA,NA
"Hozatka Lake",2210,"Alaska","SCAN","Yukon-Koyukuk",206,65.198,-156.635,"190901091201","Hozatka Lake","S2014AK290013","15N0707"
"Hozomeen Camp",991,"Washington","SNOTEL","Whatcom",1690,48.98075,-121.07976,"171100050602",NA,NA,NA
"Hubbard Brook",2069,"New Hampshire","SCAN","Grafton",1480,43.93333,-71.71667,"010700010205","Hubbard Brook","S2002NH009001","06N0797"
"Huckleberry Creek",928,"Washington","SNOTEL","Pierce",2250,47.06565,-121.58778,"171100140307",NA,NA,NA
"Humboldt Gulch",535,"Idaho","SNOTEL","Shoshone",4250,47.53178,-115.77643,"170103020102",NA,NA,NA
"Huntington Horse",1216,"Utah","SNOTEL","Sanpete",9652,39.61774,-111.30576,"140600070201","Huntington Horseshoe","S2012UT039006","13N57557"
"Hyndman",537,"Idaho","SNOTEL","Blaine",7620,43.71077,-114.15894,"170402190402",NA,NA,NA
"Idarado",538,"Colorado","SNOTEL","Ouray",9800,37.9339,-107.67552,"140200060201",NA,NA,NA
"Imnaviat Creek",968,"Alaska","SNOTEL","North Slope",3050,68.61683,-149.30017,"190604010702",NA,NA,NA
"Independence Camp",539,"California","SNOTEL","Sierra",6980,39.45269,-120.29367,"160501020102",NA,NA,NA
"Independence Creek",540,"California","SNOTEL","Sierra",6436,39.49001,-120.28226,"160501020102","Independence Creek","S11CA091001","12N7848"
"Independence Lake",541,"California","SNOTEL","Nevada",8338,39.42752,-120.31342,"160501020104",NA,NA,NA
"Independence Mine",1091,"Alaska","SNOTEL","Matanuska-Susitna",3550,61.79117,-149.27967,"190205051202",NA,NA,NA
"Independence Pass",542,"Colorado","SNOTEL","Pitkin",10600,39.07539,-106.61169,"140100040101",NA,NA,NA
"Indian Canyon",543,"Utah","SNOTEL","Duchesne",9171,39.89166,-110.74604,"140600040701",NA,NA,NA
"Indian Creek",544,"Wyoming","SNOTEL","Lincoln",9425,42.30023,-110.67753,"140401070502",NA,NA,NA
"Indian Pass",946,"Alaska","SNOTEL","Anchorage",2350,61.06767,-149.4795,"190204010402",NA,NA,NA
"Indian Rock",1129,"Washington","SNOTEL","Klickitat",5360,45.99077,-120.80767,"170701060301",NA,NA,NA
"Irish Taylor",545,"Oregon","SNOTEL","Deschutes",5540,43.80368,-121.94793,"170703010106",NA,NA,NA
"Isabela",2052,"Puerto Rico","SCAN","Isabela",50,18.47022,-67.04372,"210100020507","Isabela","82PR007001","82P0820"
"Isbell Farms",2173,"Alabama","SCAN","Colbert",603,34.81982,-87.98685,"060300051002","Isbell Farms","S10AL033001","10N1238"
"Island Park",546,"Idaho","SNOTEL","Fremont",6290,44.4203,-111.38512,"170402020601",NA,NA,NA
"Ivanhoe",547,"Colorado","SNOTEL","Pitkin",10400,39.29202,-106.54923,"140100040501",NA,NA,NA
"JL Meadow",1287,"Montana","SNOTEL","Beaverhead",8800,44.77665,-113.12217,"100200011202",NA,NA,NA
"Jack Creek Upper",548,"Nevada","SNOTEL","Elko",7377,41.54675,-116.00517,"170501050201",NA,NA,NA
"Jack Wade Jct",1275,"Alaska","SNOTEL","Southeast Fairbanks",3585,64.1529,-141.32693,"190705022204",NA,NA,NA
"Jacks Peak",549,"Nevada","SNOTEL","Elko",8424,41.5136,-116.0117,"170501050201",NA,NA,NA
"Jackson Peak",550,"Idaho","SNOTEL","Boise",7070,44.05092,-115.44322,"170501200304",NA,NA,NA
"Jackwhacker Gulch",935,"Colorado","SNOTEL","Clear Creek",10960,39.56667,-105.8,"101900020201",NA,NA,NA
"Jakes Creek",1211,"Nevada","SNOTEL","Elko",7380,41.5687,-115.03243,"170402130308","Jakes Creek","S2014NV007025","15N0477"
"Joe Wright",551,"Colorado","SNOTEL","Larimer",10120,40.53215,-105.887,"101900070204",NA,NA,NA
